id,time,location,event,tag
1,8:00,home,wakeup,home
2,8:30,home,eat,home
3,9:00,office,work,work
4,9:30,office,work,work
5,10:00,office,work,work
6,10:30,office,work,work
7,11:00,classroom,class,work
8,11:30,classroom,class,work
9,12:00,classroom,class,work
10,12:30,restaurant,eat,work
11,13:00,restaurant,eat,work
12,13:30,office,work,work
13,14:00,office,work,work
14,14:30,office,work,work
15,15:00,office,rest,work
16,15:30,office,rest,work
17,16:00,office,work,work
18,16:30,office,work,work
19,17:00,office,work,work
20,17:30,office,work,work
21,18:00,restaurant,eat,home
22,18:30,restaurant,eat,home
23,19:00,home,rest,home
24,19:30,home,work,home
25,20:00,home,work,home
26,20:30,home,work,home
27,21:00,gym,exercise,home
28,21:30,gym,exercise,home
29,22:00,gym,exercise,home
30,22:30,home,rest,home
31,23:00,home,rest,home
32,23:30,home,rest,home
33,0:00,home,sleep,home
34,0:30,home,sleep,home
35,1:00,home,sleep,home
36,1:30,home,sleep,home
37,2:00,home,sleep,home
38,2:30,home,sleep,home
39,3:00,home,sleep,home
40,3:30,home,sleep,home
41,4:00,home,sleep,home
42,4:30,home,sleep,home
43,5:00,home,sleep,home
44,5:30,home,sleep,home
45,6:00,home,sleep,home
46,6:30,home,sleep,home
47,7:00,home,sleep,home
48,7:30,home,sleep,home
49,8:00,home,wakeup,home
50,8:30,home,eat,home
51,9:00,office,work,work
52,9:30,office,work,work
53,10:00,office,work,work
54,10:30,office,work,work
55,11:00,classroom,class,work
56,11:30,classroom,class,work
57,12:00,classroom,class,work
58,12:30,restaurant,eat,work
59,13:00,restaurant,eat,work
60,13:30,office,work,work
61,14:00,office,work,work
62,14:30,office,work,work
63,15:00,office,work,work
64,15:30,office,work,work
65,16:00,office,work,work
66,16:30,office,work,work
67,17:00,office,work,work
68,17:30,office,work,work
69,18:00,restaurant,eat,work
70,18:30,restaurant,eat,work
71,19:00,home,home,home
72,19:30,home,home,home
73,20:00,home,home,home
74,20:30,home,home,home
75,21:00,gym,exercise,home
76,21:30,gym,exercise,home
77,22:00,gym,exercise,home
78,22:30,home,rest,home
79,23:00,home,rest,home
80,23:30,home,rest,home
81,0:00,home,sleep,home
82,0:30,home,sleep,home
83,1:00,home,sleep,home
84,1:30,home,sleep,home
85,2:00,home,sleep,home
86,2:30,home,sleep,home
87,3:00,home,sleep,home
88,3:30,home,sleep,home
89,4:00,home,sleep,home
90,4:30,home,sleep,home
91,5:00,home,sleep,home
92,5:30,home,sleep,home
93,6:00,home,sleep,home
94,6:30,home,sleep,home
95,7:00,home,sleep,home
96,7:30,home,sleep,home
97,8:00,home,wakeup,home
98,8:30,home,eat,home
99,9:00,office,work,work
100,9:30,office,work,work